study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_csf,Float,Emotional N-Back,Subcortical,tfmri_nback_all_135,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI csf,,,60146
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_hippocampus.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_133,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-hippocampus,,,60147
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_hippocampus.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_147,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-hippocampus,,,60148
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_inf.lat.vent.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_123,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-inf-lat-vent,,,60149
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_inf.lat.vent.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_140,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-inf-lat-vent,,,60150
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_lateral.ventricle.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_122,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-lateral-ventricle,,,60151
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_lateral.ventricle.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_139,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-lateral-ventricle,,,60152
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_pallidum.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_129,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-pallidum,,,60153
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_pallidum.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_146,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-pallidum,,,60154
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_putamen.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_128,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-putamen,,,60155
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_putamen.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_145,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-putamen,,,60156
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_thalamus.proper.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_126,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-thalamus-proper,,,60157
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_thalamus.proper.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_143,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-thalamus-proper,,,60158
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_ventraldc.lh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_137,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI left-ventraldc,,,60159
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Subcortical) [Youth],mri_y_tfmr_nback_2bv0b_aseg,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_subcort.aseg_ventraldc.rh,Float,Emotional N-Back,Subcortical,tfmri_nback_all_150,Beta weight for nBack all 2 back versus 0 back contrast in ASEG ROI right-ventraldc,,,60160
