study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.subcentral.rh,Float,Emotional N-Back,Destrieux,tfabwdp_670,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere subcentral gyrus and sulci,,,59996
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.transv.frontopol.lh,Float,Emotional N-Back,Destrieux,tfabwdp_597,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere transverse frontopolar gyri and sulci,,,59997
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.and.s.transv.frontopol.rh,Float,Emotional N-Back,Destrieux,tfabwdp_671,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere transverse frontopolar gyri and sulci,,,59998
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.cingul.post.dorsal.lh,Float,Emotional N-Back,Destrieux,tfabwdp_601,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere posterior-dorsal part of the cingulate gyrus,,,59999
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.cingul.post.dorsal.rh,Float,Emotional N-Back,Destrieux,tfabwdp_675,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere posterior-dorsal part of the cingulate gyrus,,,60000
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.cingul.post.ventral.lh,Float,Emotional N-Back,Destrieux,tfabwdp_602,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere posterior-ventral part of the cingulate gyrus,,,60001
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.cingul.post.ventral.rh,Float,Emotional N-Back,Destrieux,tfabwdp_676,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere posterior-ventral part of the cingulate gyrus,,,60002
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.cuneus.lh,Float,Emotional N-Back,Destrieux,tfabwdp_603,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere cuneus,,,60003
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.cuneus.rh,Float,Emotional N-Back,Destrieux,tfabwdp_677,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI right hemisphere cuneus,,,60004
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Destrieux) [Youth],mri_y_tfmr_nback_2bv0b_dst,abcd_tfabwdp101,tfmri_nback_all_2.back.vs.0.back_beta_cort.destrieux_g.front.inf.opercular.lh,Float,Emotional N-Back,Destrieux,tfabwdp_604,Beta weight for nBack all 2 back versus 0 back contrast in cortical Destrieux ROI left hemisphere opercular part of the inferior frontal gyrus,,,60005
