study,domain,sub_domain,source,table_label,table_name,table_name_nda,var_name_nda,type,metric,atlas,var_name,var_label,notes,condition,id
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_inferiorparietal.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_583,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-inferiorparietal,,,59930
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_inferiortemporal.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_550,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-inferiortemporal,,,59931
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_inferiortemporal.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_584,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-inferiortemporal,,,59932
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_insula.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_576,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-insula,,,59933
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_insula.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_610,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-insula,,,59934
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_isthmuscingulate.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_551,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-isthmuscingulate,,,59935
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_isthmuscingulate.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_585,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-isthmuscingulate,,,59936
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_lateraloccipital.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_552,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-lateraloccipital,,,59937
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_lateraloccipital.rh,Float,Emotional N-Back,Desikan,tfmri_nback_all_586,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI rh-lateraloccipital,,,59938
Core,Imaging,Task fMRI,Youth,Task fMRI - N-Back - 2-back vs. 0-back (Desikan) [Youth],mri_y_tfmr_nback_2bv0b_dsk,nback_bwroi02,tfmri_nback_all_2.back.vs.0.back_beta_cort.desikan_lateralorbitofrontal.lh,Float,Emotional N-Back,Desikan,tfmri_nback_all_553,Beta weight for nBack all 2 back versus 0 back contrast in APARC ROI lh-lateralorbitofrontal,,,59939
