ROI_Label,t,p,p_fdr,Cohens_d
LH_Vis_1,0.416357387,0.677283119,0.760832009,0.03212267
LH_Vis_2,0.682938775,0.494885458,0.614528096,0.05268987
LH_Vis_3,0.842401822,0.39987009,0.519371497,0.064992712
LH_Vis_4,-1.067876771,0.285961364,0.390497089,-0.082388482
LH_Vis_5,3.222153244,0.001334057,0.003941137,0.24859452
LH_Vis_6,1.901867061,0.057625903,0.104920003,0.146732229
LH_Vis_7,3.501791511,0.000493289,0.00166393,0.27016908
LH_Vis_8,-0.457091129,0.647753849,0.74122719,-0.035265346
LH_Vis_9,0.973952796,0.330434551,0.43928358,0.07514209
LH_Vis_10,1.220448767,0.22272419,0.31679604,0.094159667
LH_Vis_11,1.858396856,0.063563423,0.114010584,0.14337843
LH_Vis_12,-1.655634646,0.098265063,0.16151203,-0.127734986
LH_Vis_13,-1.160104395,0.246419526,0.344775668,-0.089503997
LH_Vis_14,-0.7752456,0.438470043,0.555149746,-0.059811497
LH_Vis_15,2.168170675,0.03049915,0.060998301,0.167277999
LH_Vis_16,-0.653151458,0.513883394,0.632902708,-0.050391729
LH_Vis_17,1.926948573,0.05441317,0.10106867,0.14866731
LH_Vis_18,1.454498429,0.146276525,0.229066502,0.11221699
LH_Vis_19,-3.534882061,0.00043882,0.001514098,-0.272722072
LH_Vis_20,0.572151423,0.567412023,0.671388048,0.044142441
LH_Vis_21,1.702734988,0.089083014,0.151945367,0.131368856
LH_Vis_22,-1.095292357,0.273787425,0.376145641,-0.08450364
LH_Vis_23,-0.271932532,0.785758635,0.841618253,-0.02098005
LH_Vis_24,2.02204787,0.043572525,0.083100343,0.15600438
LH_Vis_25,0.504539076,0.614049148,0.711667218,0.038926035
LH_Vis_26,0.780895236,0.43513998,0.554037382,0.060247375
LH_Vis_27,-1.316327238,0.188529436,0.27848139,-0.101556851
LH_Vis_28,2.220892908,0.026732569,0.054428473,0.171345608
LH_Vis_29,-1.112454288,0.266343851,0.367034819,-0.085827712
LH_Vis_30,0.532011666,0.594894497,0.693021425,0.041045591
LH_Vis_31,-2.961194854,0.003173661,0.008340087,-0.228461143
LH_SomMot_1,-0.410059528,0.681894184,0.762911315,-0.031636779
LH_SomMot_2,2.7440317,0.00623284,0.015564883,0.211706642
