net_label,t,p,p_fdr,Cohens_d
VS,1.153503211,0.248926199,0.796808112,0.065461809
SM,0.94805314,0.343287337,0.796808112,0.053802428
DA,0.20118555,0.840586498,0.904064031,0.011417368
VA,1.985782203,0.047277444,0.378219548,0.112694005
LM,-0.232504973,0.816184214,0.904064031,-0.013194758
FP,0.844768168,0.398404056,0.796808112,0.047940961
DM,-0.521195465,0.60232369,0.904064031,-0.02957807
SC,0.120553765,0.904064031,0.904064031,0.006841479
