net_label,t,p,p_fdr,Cohens_d
VS,1.283659765,0.199705888,0.199705888,0.099036501
SM,6.285755404,5.91E-10,2.36E-09,0.484956558
DA,3.835772475,0.000137004,0.000182673,0.295936271
VA,5.21201713,2.49E-07,4.98E-07,0.402115852
LM,-5.689503574,1.91E-08,5.10E-08,-0.438954731
FP,6.420668553,2.57E-10,2.06E-09,0.495365333
DM,1.635150015,0.102490786,0.117132327,0.126154563
SC,4.708418788,3.04E-06,4.86E-06,0.363262396
