ROI_Label,t,p,p_fdr,Cohens_d
LH_DorsAttn_FEF_3,-4.51523766,7.73E-06,0.00010582,-0.378244988
LH_DorsAttn_FEF_4,1.031912595,0.302552362,0.43004298,0.086444125
LH_DorsAttn_PrCv_1,2.223785983,0.026557494,0.060019936,0.18628829
LH_DorsAttn_PrCv_2,4.408700328,1.25E-05,0.000148156,0.369320273
LH_SalVentAttn_ParOper_1,-0.035683039,0.971547677,0.982415101,-0.002989196
LH_SalVentAttn_ParOper_2,2.111650046,0.035152579,0.074522636,0.176894575
LH_SalVentAttn_ParOper_3,-1.270204723,0.204532337,0.31338514,-0.106406042
LH_SalVentAttn_ParOper_4,-0.305739715,0.7599181,0.846017195,-0.025612055
LH_SalVentAttn_TempOcc_1,-2.368243592,0.018207164,0.044667504,-0.198389617
LH_SalVentAttn_FrOper_1,3.632639559,0.000305992,0.00151987,0.304309055
LH_SalVentAttn_FrOper_2,0.196214039,0.84451293,0.900282652,0.016437003
LH_SalVentAttn_FrOper_3,0.37815132,0.705459602,0.801175227,0.031678032
LH_SalVentAttn_FrOper_4,1.221745885,0.222312141,0.337198281,0.102346608
LH_SalVentAttn_FrOper_5,-4.345514384,1.65E-05,0.000181376,-0.364027137
LH_SalVentAttn_FrOper_6,0.145444648,0.884411801,0.923219709,0.012184012
LH_SalVentAttn_FrOper_7,1.603819075,0.109309811,0.190030903,0.134353178
LH_SalVentAttn_FrOper_8,-4.045178157,5.95E-05,0.000412838,-0.338867736
LH_SalVentAttn_FrOper_9,5.37376339,1.13E-07,4.25E-06,0.45016436
LH_SalVentAttn_PFCl_1,-1.506219398,0.132566987,0.21789192,-0.126177176
LH_SalVentAttn_Med_1,-0.02161708,0.982761016,0.985351745,-0.00181088
LH_SalVentAttn_Med_2,-3.919349088,9.97E-05,0.00059277,-0.328326937
LH_SalVentAttn_Med_3,-1.866407429,0.062521608,0.117566169,-0.156350409
LH_SalVentAttn_Med_4,0.057583165,0.954101103,0.9712456,0.004823787
LH_SalVentAttn_Med_5,-2.795301147,0.005367666,0.015857418,-0.234164562
LH_SalVentAttn_Med_6,1.420618143,0.155977285,0.251791903,0.119006292
LH_SalVentAttn_Med_7,0.514050426,0.60741679,0.716846969,0.043062406
LH_Limbic_OFC_1,-2.0903811,0.037035516,0.076568551,-0.175112859
LH_Limbic_OFC_2,4.253895275,2.47E-05,0.000223779,0.356352132
LH_Limbic_OFC_3,-0.532059457,0.594892869,0.709476456,-0.044571037
LH_Limbic_OFC_4,4.704402813,3.26E-06,4.87E-05,0.394091501
LH_Limbic_OFC_5,0.949632072,0.342704075,0.472262933,0.079551421
LH_Limbic_TempPole_1,-0.067883409,0.945902349,0.965119326,-0.005686646
LH_Limbic_TempPole_2,-0.15907172,0.873668958,0.916237515,-0.013325562
LH_Limbic_TempPole_3,0.71867701,0.472635497,0.595073105,0.060204135
LH_Limbic_TempPole_4,3.029365727,0.002562146,0.008707444,0.253772335
LH_Limbic_TempPole_5,2.911971559,0.003736651,0.01189413,0.243938134
LH_Limbic_TempPole_6,4.129883852,4.18E-05,0.000320446,0.345963598
LH_Limbic_TempPole_7,3.621902089,0.000318837,0.001552274,0.303409569
LH_Limbic_TempPole_8,0.255381385,0.798521554,0.870177204,0.021393498
LH_Cont_Par_1,-1.475949327,0.140519241,0.230125714,-0.123641429
LH_Cont_Par_2,-0.407320802,0.68392822,0.782621659,-0.034121582
LH_Cont_Par_3,-1.406366083,0.160163121,0.256715357,-0.117812386
LH_Cont_Par_4,-2.059485532,0.039902963,0.080518479,-0.172524713
LH_Cont_Par_5,-3.013847552,0.00269477,0.009089821,-0.252472365
LH_Cont_Par_6,-2.734223094,0.006447858,0.017664976,-0.229048006
LH_Cont_Temp_1,-4.881458323,1.38E-06,2.84E-05,-0.408923579
LH_Cont_PFCl_1,-2.380970331,0.017606948,0.043544547,-0.199455746
LH_Cont_PFCl_2,-3.657979588,0.000277961,0.001411668,-0.306431809
LH_Cont_PFCl_3,0.178570511,0.858338793,0.90646994,0.014958991
LH_Cont_PFCl_4,-0.054942023,0.956204186,0.9712456,-0.004602536
LH_Cont_PFCl_5,0.081048889,0.935431672,0.963298767,0.006789529
LH_Cont_PFCl_6,-1.295415113,0.195720662,0.301930851,-0.108517937
LH_Cont_PFCl_7,2.864099384,0.004336964,0.013245322,0.239927844
LH_Cont_PFCl_8,-2.128803721,0.033704033,0.072891019,-0.178331552
LH_Cont_PFCl_9,2.209088854,0.027569663,0.061690533,0.1850571
LH_Cont_PFCv_1,0.180373465,0.856923726,0.90646994,0.015110026
LH_Cont_pCun_1,-4.09968175,4.75E-05,0.000340787,-0.343433545
LH_Cont_pCun_2,-5.768534502,1.33E-08,6.67E-07,-0.483234644
LH_Cont_Cing_1,-1.773381957,0.076708636,0.139807676,-0.148557593
LH_Cont_Cing_2,-6.376056665,3.89E-10,5.87E-08,-0.534127251
LH_Cont_PFCmp_1,1.562386444,0.118754678,0.20028774,0.130882334
LH_Default_Temp_1,4.479062849,9.07E-06,0.000117108,0.375214596
LH_Default_Temp_2,3.366339843,0.0008133,0.003311817,0.28200092
LH_Default_Temp_3,-5.243345336,2.23E-07,6.72E-06,-0.439239137
LH_Default_Temp_4,1.341201747,0.180391318,0.284100612,0.112353519
LH_Default_Temp_5,3.565553288,0.000393701,0.001815843,0.298689186
LH_Default_Temp_6,3.112288807,0.001958646,0.006758077,0.260718866
LH_Default_Temp_7,0.933913843,0.350750452,0.478970406,0.078234693
LH_Default_Temp_8,0.638378193,0.523485325,0.642976541,0.05347744
LH_Default_Temp_9,-0.200830782,0.840903081,0.899359296,-0.016823752
LH_Default_Temp_10,2.850641388,0.004523062,0.013539231,0.238800457
LH_Default_Temp_11,-3.148199946,0.001729885,0.006156758,-0.26372717
LH_Default_Temp_12,-2.316560082,0.020907481,0.049737797,-0.194060049
LH_Default_Temp_13,1.589825819,0.112433411,0.193921453,0.133180952
LH_Default_Temp_14,0.847560791,0.397041605,0.524745046,0.07100083
LH_Default_Temp_15,-1.899720097,0.057979396,0.110516093,-0.159141037
LH_Default_Temp_16,0.189113265,0.850071611,0.903636914,0.015842166
LH_Default_Temp_17,-0.586692169,0.557647028,0.673947745,-0.049147662
LH_Default_PFC_1,2.987664414,0.002933336,0.009607739,0.250278983
LH_Default_PFC_2,3.4410554,0.000623645,0.002659316,0.288259901
LH_Default_PFC_3,1.100895443,0.271409569,0.398302355,0.092222872
LH_Default_PFC_4,0.573294842,0.566673348,0.682915174,0.048025357
LH_Default_PFC_5,3.354726568,0.000847451,0.00336007,0.281028067
LH_Default_PFC_6,-0.610034261,0.542083618,0.660436106,-0.051103047
LH_Default_PFC_7,0.669839404,0.503232895,0.623181558,0.05611297
LH_Default_PFC_8,-0.411551804,0.680823505,0.782621659,-0.034476016
LH_Default_PFC_9,-0.726611787,0.467767547,0.590589193,-0.060868837
LH_Default_PFC_10,-2.999336495,0.002825743,0.009334976,-0.251256763
LH_Default_PFC_11,-3.284868837,0.001083323,0.004046794,-0.27517603
LH_Default_PFC_12,-3.438085926,0.000629755,0.002660272,-0.288011145
LH_Default_PFC_13,-0.507509203,0.611996511,0.720370893,-0.042514443
LH_Default_PFC_14,1.309188615,0.191005011,0.296681323,0.109671754
LH_Default_PFC_15,-1.509374493,0.131762056,0.217359304,-0.126441481
LH_Default_PFC_16,-1.531137063,0.126294904,0.21061048,-0.128264549
LH_Default_PFC_17,3.618553702,0.000322685,0.001552274,0.303129072
LH_Default_PFC_18,-0.93137076,0.352057542,0.479307256,-0.078021657
LH_Default_PFC_19,-3.328575044,0.00093183,0.003599889,-0.278837333
LH_Default_PFC_20,3.8417426,0.000135938,0.000768048,0.321825781
LH_Default_PFC_21,2.380253417,0.017629761,0.043544547,0.199395689
LH_Default_PFC_22,-1.084087176,0.278787844,0.405183619,-0.09081483
LH_Default_PFC_23,-0.707317044,0.479676026,0.599692911,-0.059252502
LH_Default_PFC_24,0.954462734,0.34025749,0.470325338,0.079956089
LH_Default_PCC_1,-0.199871458,0.84165704,0.899359296,-0.016743388
LH_Default_PCC_2,0.448200754,0.654179954,0.758177793,0.037546128
LH_Default_PCC_3,-3.446081015,0.000616168,0.002652456,-0.2886809
LH_Default_PCC_4,-4.027682957,6.41E-05,0.000432568,-0.33740215
LH_Default_PCC_5,-0.987476261,0.323831815,0.453164026,-0.082721658
LH_Default_PCC_6,-3.685418065,0.000250216,0.001291839,-0.308730352
LH_Default_PCC_7,-3.948206263,9.01E-05,0.000546156,-0.330744325
LH_Default_PCC_8,-2.733030597,0.00647272,0.017664976,-0.228948109
LH_Default_PCC_9,-4.329048588,1.77E-05,0.00018225,-0.362647784
LH_Default_PCC_10,-1.923679257,0.054901098,0.106503418,-0.161148115
LH_Default_PCC_11,1.521675548,0.128650679,0.213004054,0.12747195
RH_Vis_1,-0.119211519,0.905150051,0.942690836,-0.009986442
RH_Vis_2,0.012123749,0.990331175,0.990331175,0.001015616
RH_Vis_3,0.766728042,0.44356405,0.567117709,0.064229407
RH_Vis_4,-1.92719256,0.054485085,0.106151975,-0.161442427
RH_Vis_5,-0.269770889,0.787434996,0.868500648,-0.022598918
RH_Vis_6,0.042403756,0.966192255,0.979190357,0.003552196
RH_Vis_7,-0.917311107,0.359370187,0.486333307,-0.076843868
RH_Vis_8,-1.10845072,0.268136552,0.398302355,-0.092855783
RH_Vis_9,-0.645791776,0.518675053,0.64054952,-0.054098482
RH_Vis_10,-0.819468206,0.412863074,0.53927648,-0.068647492
RH_Vis_11,0.923551639,0.356112856,0.483372406,0.077366643
RH_Vis_12,0.812897601,0.416618732,0.541125479,0.068097067
RH_Vis_13,0.247500229,0.804610554,0.874240314,0.020733288
RH_Vis_14,1.109427632,0.267717478,0.398302355,0.09293762
RH_Vis_15,-0.463474203,0.643203555,0.749298987,-0.038825596
RH_Vis_16,-0.700925265,0.483637502,0.602215292,-0.058717057
RH_Vis_17,3.407918038,0.000701214,0.002934711,0.285483958
RH_Vis_18,-0.367154974,0.713640172,0.808434481,-0.030756859
RH_Vis_19,0.307784785,0.758361018,0.846017195,0.025783372
RH_Vis_20,-2.629037687,0.00880227,0.023542165,-0.220236542
RH_Vis_21,1.410885463,0.158826554,0.255479012,0.118190978
RH_Vis_22,-0.8832045,0.377501151,0.501886836,-0.073986731
RH_Vis_23,-1.404306311,0.160785208,0.256801816,-0.117639837
RH_Vis_24,4.339513688,1.69E-05,0.000181376,0.363524454
RH_Vis_25,-1.657042525,0.098065816,0.173147456,-0.138811748
RH_Vis_26,1.000448072,0.317519831,0.448496762,0.083808317
RH_Vis_27,1.629667663,0.10372633,0.181722097,0.136518534
RH_Vis_28,0.378294096,0.705353471,0.801175227,0.031689992
RH_Vis_29,0.963301712,0.335810678,0.465602535,0.080696537
RH_Vis_30,1.584152083,0.113716954,0.193962503,0.132705658
RH_SomMot_1,1.805184423,0.071577047,0.132593546,0.15122171
RH_SomMot_2,2.116871752,0.034706704,0.074522636,0.177332001
RH_SomMot_3,2.089989381,0.037063312,0.076568551,0.175080044
RH_SomMot_4,1.911748586,0.056411321,0.108268559,0.160148673
RH_SomMot_5,-2.75479481,0.006062716,0.017165307,-0.230771315
RH_SomMot_6,4.335022083,1.73E-05,0.000181376,0.363148188
RH_SomMot_7,1.661466022,0.097195214,0.172283281,0.139182307
RH_SomMot_8,2.110165594,0.035282841,0.074522636,0.176770221
RH_SomMot_9,-4.11320196,4.55E-05,0.000334367,-0.344566143
RH_SomMot_10,-1.114542557,0.265519983,0.397400769,-0.093366101
RH_SomMot_11,-3.053014226,0.002371652,0.008121111,-0.255753388
RH_SomMot_12,-5.002895718,7.59E-07,1.90E-05,-0.419096485
RH_SomMot_13,-3.166585767,0.001625891,0.005926636,-0.265267365
RH_SomMot_14,-2.866465173,0.004304739,0.01323634,-0.240126028
RH_SomMot_15,-2.858073693,0.004418786,0.013315277,-0.239423067
RH_SomMot_16,-2.789482191,0.005457118,0.016016994,-0.233677104
RH_SomMot_17,-1.937280061,0.053207499,0.104111642,-0.162287465
RH_SomMot_18,-3.13610935,0.001809763,0.006292408,-0.262714332
RH_SomMot_19,-0.021102223,0.983171763,0.985351745,-0.00176775
RH_SomMot_20,-4.298727798,2.03E-05,0.000194628,-0.360107788
RH_SomMot_21,-1.624233369,0.104881456,0.183036363,-0.136063299
RH_SomMot_22,-0.306013582,0.759708836,0.846017195,-0.025634997
RH_SomMot_23,2.538579173,0.011402003,0.029449744,0.212658762
RH_SomMot_24,-2.16089107,0.031121062,0.067955169,-0.181019534
RH_SomMot_25,0.094877977,0.924445259,0.957722237,0.007948002
RH_SomMot_26,-3.483668653,0.000533534,0.002318822,-0.291829646
RH_SomMot_27,-0.761849656,0.446469966,0.56787325,-0.063820741
RH_SomMot_28,0.464696,0.642327387,0.749298987,0.038927947
RH_SomMot_29,-1.784998439,0.074800933,0.137439113,-0.149530714
RH_SomMot_30,-4.70045957,3.27E-06,4.87E-05,-0.393761172
RH_SomMot_31,-2.080353253,0.037946469,0.077609973,-0.174272818
RH_SomMot_32,-3.591736803,0.00035708,0.001663919,-0.3008826
RH_SomMot_33,-1.970484503,0.049268694,0.096823695,-0.165069027
RH_SomMot_34,-7.581179817,1.53E-13,6.91E-11,-0.635081359
RH_SomMot_35,-3.595243571,0.000352356,0.001659009,-0.301176364
RH_SomMot_36,0.477132735,0.633451474,0.741761829,0.039969782
RH_SomMot_37,-0.776692691,0.437670702,0.56200897,-0.065064154
RH_SomMot_38,-4.180305886,3.37E-05,0.000287602,-0.350187492
RH_SomMot_39,-5.329160655,1.43E-07,4.76E-06,-0.446427954
RH_SomMot_40,-4.899635141,1.26E-06,2.84E-05,-0.410446266
RH_DorsAttn_Post_1,1.565926223,0.117922819,0.199629641,0.131178864
RH_DorsAttn_Post_2,2.297576379,0.021975467,0.051733912,0.192469769
RH_DorsAttn_Post_3,-0.316035217,0.752093166,0.843538737,-0.026474517
RH_DorsAttn_Post_4,-0.518504401,0.604309626,0.715046992,-0.043435519
RH_DorsAttn_Post_5,-3.304078954,0.001012919,0.003847388,-0.276785277
RH_DorsAttn_Post_6,-0.072821283,0.941974482,0.965119326,-0.006100296
RH_DorsAttn_Post_7,-1.101176469,0.271304706,0.398302355,-0.092246414
RH_DorsAttn_Post_8,-1.600550196,0.110047626,0.190580563,-0.134079341
RH_DorsAttn_Post_9,0.410189466,0.681821652,0.782621659,0.034361892
RH_DorsAttn_Post_10,-1.672970767,0.094896672,0.168871243,-0.140146069
RH_DorsAttn_Post_11,0.824954274,0.409752683,0.536835399,0.069107064
RH_DorsAttn_Post_12,-2.75433967,0.006076215,0.017165307,-0.230733187
RH_DorsAttn_Post_13,-2.319127533,0.02077361,0.049680802,-0.194275126
RH_DorsAttn_Post_14,-2.541951938,0.011288626,0.029324477,-0.212941301
RH_DorsAttn_Post_15,-5.418512226,8.89E-08,3.65E-06,-0.453913005
RH_DorsAttn_Post_16,-3.503167389,0.000496857,0.002180382,-0.29346307
RH_DorsAttn_Post_17,-2.291449913,0.022303853,0.052234931,-0.19195655
RH_DorsAttn_Post_18,-3.325072901,0.000941104,0.003604907,-0.278543956
RH_DorsAttn_Post_19,1.77623897,0.076241952,0.139519685,0.148796927
RH_DorsAttn_FEF_1,2.032195766,0.042598854,0.085197707,0.170238628
RH_DorsAttn_FEF_2,-4.383583929,1.39E-05,0.000161327,-0.367216252
RH_DorsAttn_FEF_3,1.461174025,0.144522274,0.23582696,0.12240369
