sub_id,mat_path,schaefer400,schaefer200,mean_fd
sub-NDARINV1WVHVGH7_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV1WVHVGH7_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-330.376736652919,-177.052730597868,0.3162305814
sub-NDARINV1X4F1YB5_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV1X4F1YB5_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-353.582014922687,-187.863555551954,0.2835940333
sub-NDARINV1ZK55NV1_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV1ZK55NV1_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-336.075095118262,-177.324940325798,0.7484407947
sub-NDARINV1ZPJCKVC_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV1ZPJCKVC_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-351.42225880644,-187.613036299317,0.6818376588
sub-NDARINV249JM0NY_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV249JM0NY_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-328.792896041946,-171.621701546619,0.2328035962
sub-NDARINV2FV7FT02_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV2FV7FT02_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-349.52869187034,-185.838507739949,0.3865577824
sub-NDARINV2HXAJVXU_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV2HXAJVXU_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-348.985877740472,-178.346936537597,0.7421056189
sub-NDARINV2JRRX50R_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV2JRRX50R_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-345.825631146813,-181.743711035821,0.4983590905
sub-NDARINV2RB7270C_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV2RB7270C_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-322.314211191765,-169.617238802634,0.28501739
sub-NDARINV2W4HNGV7_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV2W4HNGV7_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-314.025736961715,-164.768851178814,0.436842533
sub-NDARINV2Y5DW30Z_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV2Y5DW30Z_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-343.583863822581,-177.873493997191,0.8380115556
sub-NDARINV2YH5GYE4_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV2YH5GYE4_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-341.779513445631,-177.184466257604,0.3331963173
sub-NDARINV3041N6ZR_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV3041N6ZR_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-332.222122511118,-178.200569108704,0.3819319715
sub-NDARINV31JMTLE9_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV31JMTLE9_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-333.571555227904,-179.257327029845,0.6025965379
sub-NDARINV35V4K19A_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV35V4K19A_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-349.96980431572,-184.496637541774,0.4086347977
sub-NDARINV3DMNEA3Z_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV3DMNEA3Z_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-332.988898200191,-172.225979171716,0.4465810826
sub-NDARINV3EX0WR8L_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV3EX0WR8L_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-336.894072648402,-172.264237674184,0.3835441458
sub-NDARINV3G3BC6PP_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV3G3BC6PP_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-331.577824380341,-175.117651783378,0.4720514474
sub-NDARINV3LTP4JU7_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV3LTP4JU7_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-335.421315396925,-177.862665273618,0.690067932
sub-NDARINV3RDMV5NE_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV3RDMV5NE_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-332.882883822563,-174.168021077252,0.4695138437
sub-NDARINV3U3CWTNF_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV3U3CWTNF_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-336.755169969234,-176.754576367374,0.7762943588
sub-NDARINV3WH5A5LB_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV3WH5A5LB_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-323.592829355792,-168.75861011009,0.2649800836
sub-NDARINV4422DGC4_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV4422DGC4_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-336.10567371309,-179.835978062737,0.5142674148
sub-NDARINV44AD8TE0_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV44AD8TE0_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-351.200184144622,-184.38029139253,0.3638251333
sub-NDARINV4C8YJ9BG_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV4C8YJ9BG_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-351.865702049353,-184.920286125389,0.2667109726
sub-NDARINV4EKBZJTW_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV4EKBZJTW_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-338.794433404226,-180.342286887685,0.4548668612
sub-NDARINV4G19G9J8_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV4G19G9J8_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-339.700502099037,-177.841707876959,0.3153033214
sub-NDARINV4G3XF9GX_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV4G3XF9GX_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-337.632591104809,-179.075441740061,0.2892010219
sub-NDARINV4GRV3A5L_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV4GRV3A5L_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-348.417425501105,-180.885050022814,0.4254334347
sub-NDARINV4M3N3TW1_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV4M3N3TW1_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-330.977499432501,-171.1938425881,0.4506494143
sub-NDARINV4XTDZ6WT_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV4XTDZ6WT_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-352.334015976571,-176.821032711695,0.4244637513
sub-NDARINV51GZ9MPP_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV51GZ9MPP_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-350.742174455604,-175.144655597729,0.3467423933
sub-NDARINV59K6Y5TC_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV59K6Y5TC_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-333.504404747392,-175.933342208542,0.2702433144
sub-NDARINV5E97AP49_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV5E97AP49_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-342.555067932814,-182.979053709414,0.6082512157
sub-NDARINV5H1AW18P_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV5H1AW18P_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-340.463223240915,-179.203795656694,0.3053777195
sub-NDARINV5LKTCB6L_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV5LKTCB6L_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-331.458043743644,-170.10325918154,0.3252894658
sub-NDARINV5P7MAKXF_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV5P7MAKXF_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-335.150059737263,-173.395105657676,0.5989612521
sub-NDARINV5PWUMKR0_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV5PWUMKR0_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-336.091643544497,-175.15481589339,0.2890160484
sub-NDARINV5UBKJ57C_ses-2YearFollowUpYArm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/2YearFollowUpYArm1/SIEMENS/site11/sub-NDARINV5UBKJ57C_ses-2YearFollowUpYArm1_space-T1w_desc-preproc_msmtconnectome.mat,-342.552521656982,-177.522494907255,0.358194402
