sub_id,mat_path,schaefer400,schaefer200,mean_fd
sub-NDARINV1WVHVGH7_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV1WVHVGH7_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-339.921292379266,-181.057006293586,0.3378908109
sub-NDARINV1X4F1YB5_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV1X4F1YB5_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-333.787437366852,-176.748219495838,0.3700488269
sub-NDARINV1Y7RVHYC_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV1Y7RVHYC_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-348.292984255251,-182.061889912033,0.4146562773
sub-NDARINV1ZPJCKVC_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV1ZPJCKVC_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-333.702471646164,-177.085303914761,0.3090855056
sub-NDARINV21CN9606_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV21CN9606_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-337.681757991696,-173.637068281438,0.3534502252
sub-NDARINV22BFDVEJ_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV22BFDVEJ_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-358.233406374751,-188.173048205494,0.4562140355
sub-NDARINV249JM0NY_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV249JM0NY_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-333.930975460661,-174.408562695406,0.2996053907
sub-NDARINV25UXU689_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV25UXU689_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-342.217462536426,-181.775972869263,0.4387999411
sub-NDARINV28VRHGXD_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV28VRHGXD_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-335.905813294006,-174.031079902875,0.5066725059
sub-NDARINV2EENVRH9_ses-baselineYear1Arm1,/ibmgpfs/cuizaixu_lab/xuxiaoyu/ABCD/processed/qsiPrep/SC_matrix/baselineYear1Arm1/SIEMENS/site11/sub-NDARINV2EENVRH9_ses-baselineYear1Arm1_space-T1w_desc-preproc_msmtconnectome.mat,-345.061380500172,-184.795041025826,0.3622644953
